omschrijving,label
Creëren van handvatten voor het opzetten van Digital Twins in de bouwsector. gericht op innovatieve toepassingen binnen de industrie.,Design Science Research
Creëren van handvatten voor het opzetten van Digital Twins in de bouwsector. inclusief aanbevelingen voor toekomstige verbeteringen.,Business Process Analytics
Opzetten van een framework voor Software Architecture bij microservices. waarbij nadruk ligt op praktische toepasbaarheid.,Ethical Hacking
Ontwikkeling van een Event Log App die data uit meerdere bronnen kan integreren en visualiseren. waarbij nadruk ligt op praktische toepasbaarheid.,Design Science Research
Ontwikkeling van een dashboard voor data visualisation van real-time sensorinformatie. waarbij nadruk ligt op praktische toepasbaarheid.,Ethical Hacking
Analyse van bezoekersstromen door middel van data science technieken en machine learning. gericht op innovatieve toepassingen binnen de industrie.,Artificial Intelligence
Onderzoek naar de impact van AI bij besluitvorming in businessprocessen. waarbij nadruk ligt op praktische toepasbaarheid.,Business Change and Innovation
Ontwikkeling van een dashboard voor data visualisation van real-time sensorinformatie. en evaluatie van de resultaten door middel van casestudies.,Business Process Analytics
Ontwikkeling van een dashboard voor data visualisation van real-time sensorinformatie. inclusief aanbevelingen voor toekomstige verbeteringen.,Ethical Hacking
Opzetten van een framework voor Software Architecture bij microservices. en evaluatie van de resultaten door middel van casestudies.,Business Process Analytics
Ontwikkeling van een Event Log App die data uit meerdere bronnen kan integreren en visualiseren. met focus op scalability en performance.,Design Science Research
Onderzoek naar de impact van AI bij besluitvorming in businessprocessen. met een prototype als eindresultaat.,Creative Digital Innovation
Opzetten van een framework voor Software Architecture bij microservices. met focus op scalability en performance.,Creative Digital Innovation
Opzetten van een framework voor Software Architecture bij microservices. met een prototype als eindresultaat.,Creative Digital Innovation
Proof of Concept voor ethische hacking van webapplicaties met nadruk op beveiligingslekken. en evaluatie van de resultaten door middel van casestudies.,Ethical Hacking
Ontwikkeling van een dashboard voor data visualisation van real-time sensorinformatie. met focus op scalability en performance.,Software Architecture
Proof of Concept voor ethische hacking van webapplicaties met nadruk op beveiligingslekken. met een prototype als eindresultaat.,Software Architecture
Ontwikkeling van een dashboard voor data visualisation van real-time sensorinformatie. gericht op innovatieve toepassingen binnen de industrie.,Software Architecture
Ontwikkeling van een Event Log App die data uit meerdere bronnen kan integreren en visualiseren. met focus op scalability en performance.,Ethical Hacking
Onderzoek naar veilige authenticatieprotocollen binnen IoT-omgevingen. met focus op scalability en performance.,Creative Digital Innovation
Proof of Concept voor ethische hacking van webapplicaties met nadruk op beveiligingslekken. en evaluatie van de resultaten door middel van casestudies.,Data Visualisation
Proof of Concept voor ethische hacking van webapplicaties met nadruk op beveiligingslekken. gericht op innovatieve toepassingen binnen de industrie.,Data Science
Creëren van handvatten voor het opzetten van Digital Twins in de bouwsector. inclusief aanbevelingen voor toekomstige verbeteringen.,Data Science
Verbetering van business change processen door middel van procesautomatisering. waarbij nadruk ligt op praktische toepasbaarheid.,Ethical Hacking
Ontwikkeling van een dashboard voor data visualisation van real-time sensorinformatie. inclusief aanbevelingen voor toekomstige verbeteringen.,Software Architecture
Ontwikkeling van een Event Log App die data uit meerdere bronnen kan integreren en visualiseren. gericht op innovatieve toepassingen binnen de industrie.,Creative Digital Innovation
Analyse van bezoekersstromen door middel van data science technieken en machine learning. met een prototype als eindresultaat.,Software Architecture
Onderzoek naar de impact van AI bij besluitvorming in businessprocessen. met een prototype als eindresultaat.,Design Science Research
Ontwikkeling van een Event Log App die data uit meerdere bronnen kan integreren en visualiseren. en evaluatie van de resultaten door middel van casestudies.,Software Architecture
Opzetten van een framework voor Software Architecture bij microservices. en evaluatie van de resultaten door middel van casestudies.,Data Science
Ontwikkeling van een Event Log App die data uit meerdere bronnen kan integreren en visualiseren. waarbij nadruk ligt op praktische toepasbaarheid.,Data Visualisation
Opzetten van een framework voor Software Architecture bij microservices. inclusief aanbevelingen voor toekomstige verbeteringen.,Design Science Research
Ontwikkeling van een Event Log App die data uit meerdere bronnen kan integreren en visualiseren. met een prototype als eindresultaat.,Software Architecture
Onderzoek naar de impact van AI bij besluitvorming in businessprocessen. en evaluatie van de resultaten door middel van casestudies.,Data Visualisation
Ontwikkeling van een Event Log App die data uit meerdere bronnen kan integreren en visualiseren. met focus op scalability en performance.,Ethical Hacking
Verbetering van business change processen door middel van procesautomatisering. met focus op scalability en performance.,Business Change and Innovation
Opzetten van een framework voor Software Architecture bij microservices. met een prototype als eindresultaat.,Software Architecture
Ontwikkeling van een dashboard voor data visualisation van real-time sensorinformatie. gericht op innovatieve toepassingen binnen de industrie.,Business Process Analytics
