opdrachtomschrijving,onderwerp
Maken van een applicatie die via event processing real-time sensorinformatie kan verwerken en analyseren. Extra focus op gebruiksvriendelijkheid. Doelgroep: zorgsector. Technologieën: React.,Blockchain
Bouwen van een computer vision systeem voor objectdetectie in videostreams. Extra focus op veiligheid. Doelgroep: consumentenmarkt. Technologieën: Python.,Data Science
"Opzetten van een machine learning pipeline die automatisch data opschoont, traint en voorspellingen uitvoert. Extra focus op integratie met bestaande systemen. Doelgroep: bedrijven. Technologieën: React.",AR/VR Development
"Opzetten van een machine learning pipeline die automatisch data opschoont, traint en voorspellingen uitvoert. Extra focus op veiligheid. Doelgroep: overheidsinstanties. Technologieën: TensorFlow.",Data Science
Creëren van een digitaal dashboard waarmee stakeholders inzicht krijgen in prestaties van AI-modellen. Extra focus op schaalbaarheid. Doelgroep: overheidsinstanties. Technologieën: Kubernetes.,Computer Vision
Creëren van handvatten voor het bouwen van een Digital Twin expertmodel met focus op simulatie en voorspelling. Extra focus op veiligheid. Doelgroep: onderwijsinstellingen. Technologieën: Docker.,AR/VR Development
Bouwen van een platform dat data-invoer uit verschillende kanalen ondersteunt en de resultaten toont als een overzichtelijke rapportage. Extra focus op real-time verwerking. Doelgroep: zorgsector. Technologieën: Docker.,Machine Learning
Maken van een applicatie die via event processing real-time sensorinformatie kan verwerken en analyseren. Extra focus op gebruiksvriendelijkheid. Doelgroep: consumentenmarkt. Technologieën: TensorFlow.,Workflow Automation
"Opzetten van een machine learning pipeline die automatisch data opschoont, traint en voorspellingen uitvoert. Extra focus op gebruiksvriendelijkheid. Doelgroep: bedrijven. Technologieën: React.",Data Science
"Opzetten van een machine learning pipeline die automatisch data opschoont, traint en voorspellingen uitvoert. Extra focus op gebruiksvriendelijkheid. Doelgroep: onderwijsinstellingen. Technologieën: Kubernetes.",AR/VR Development
Creëren van handvatten voor het bouwen van een Digital Twin expertmodel met focus op simulatie en voorspelling. Extra focus op schaalbaarheid. Doelgroep: overheidsinstanties. Technologieën: TensorFlow.,Workflow Automation
"Opzetten van een machine learning pipeline die automatisch data opschoont, traint en voorspellingen uitvoert. Extra focus op integratie met bestaande systemen. Doelgroep: consumentenmarkt. Technologieën: SQL.",Blockchain
Ontwikkeling van een NLP-module die automatisch klantvragen classificeert en doorstuurt naar de juiste afdeling. Extra focus op integratie met bestaande systemen. Doelgroep: bedrijven. Technologieën: Python.,App Development
Maken van een applicatie die via event processing real-time sensorinformatie kan verwerken en analyseren. Extra focus op real-time verwerking. Doelgroep: bedrijven. Technologieën: TensorFlow.,Digital Twin
Creëren van handvatten voor het bouwen van een Digital Twin expertmodel met focus op simulatie en voorspelling. Extra focus op schaalbaarheid. Doelgroep: consumentenmarkt. Technologieën: Docker.,AR/VR Development
Bouwen van een platform dat data-invoer uit verschillende kanalen ondersteunt en de resultaten toont als een overzichtelijke rapportage. Extra focus op veiligheid. Doelgroep: consumentenmarkt. Technologieën: Kubernetes.,Blockchain
"Opzetten van een machine learning pipeline die automatisch data opschoont, traint en voorspellingen uitvoert. Extra focus op schaalbaarheid. Doelgroep: onderwijsinstellingen. Technologieën: Kubernetes.",Data Science
"Opzetten van een machine learning pipeline die automatisch data opschoont, traint en voorspellingen uitvoert. Extra focus op veiligheid. Doelgroep: zorgsector. Technologieën: SQL.",Machine Learning
Ontwikkeling van een Event Log App die data uit meerdere databronnen kan koppelen en visualiseren voor gebruikers. Extra focus op schaalbaarheid. Doelgroep: bedrijven. Technologieën: Docker.,Blockchain
Implementatie van een AR-bril toepassing voor handsfree interactie met workflowmanagement-systemen. Extra focus op integratie met bestaande systemen. Doelgroep: onderwijsinstellingen. Technologieën: Kubernetes.,Computer Vision
Creëren van handvatten voor het bouwen van een Digital Twin expertmodel met focus op simulatie en voorspelling. Extra focus op schaalbaarheid. Doelgroep: consumentenmarkt. Technologieën: Docker.,Digital Twin
Creëren van handvatten voor het bouwen van een Digital Twin expertmodel met focus op simulatie en voorspelling. Extra focus op veiligheid. Doelgroep: overheidsinstanties. Technologieën: SQL.,Machine Learning
Uitwerken van een blockchain oplossing om datastromen veilig en transparant te registreren. Extra focus op veiligheid. Doelgroep: consumentenmarkt. Technologieën: Python.,Event Processing
Maken van een applicatie die via event processing real-time sensorinformatie kan verwerken en analyseren. Extra focus op gebruiksvriendelijkheid. Doelgroep: overheidsinstanties. Technologieën: Python.,Data Science
Creëren van handvatten voor het bouwen van een Digital Twin expertmodel met focus op simulatie en voorspelling. Extra focus op gebruiksvriendelijkheid. Doelgroep: onderwijsinstellingen. Technologieën: Kubernetes.,Blockchain
Bouwen van een platform dat data-invoer uit verschillende kanalen ondersteunt en de resultaten toont als een overzichtelijke rapportage. Extra focus op real-time verwerking. Doelgroep: consumentenmarkt. Technologieën: Python.,App Development
Implementatie van een AR-bril toepassing voor handsfree interactie met workflowmanagement-systemen. Extra focus op schaalbaarheid. Doelgroep: zorgsector. Technologieën: TensorFlow.,AR/VR Development
"Opzetten van een machine learning pipeline die automatisch data opschoont, traint en voorspellingen uitvoert. Extra focus op real-time verwerking. Doelgroep: bedrijven. Technologieën: Docker.",Workflow Automation
Bouwen van een computer vision systeem voor objectdetectie in videostreams. Extra focus op integratie met bestaande systemen. Doelgroep: zorgsector. Technologieën: TensorFlow.,Natural Language Processing
Ontwikkeling van een Event Log App die data uit meerdere databronnen kan koppelen en visualiseren voor gebruikers. Extra focus op veiligheid. Doelgroep: bedrijven. Technologieën: Python.,Natural Language Processing
Creëren van handvatten voor het bouwen van een Digital Twin expertmodel met focus op simulatie en voorspelling. Extra focus op integratie met bestaande systemen. Doelgroep: onderwijsinstellingen. Technologieën: Python.,AR/VR Development
Ontwikkeling van een NLP-module die automatisch klantvragen classificeert en doorstuurt naar de juiste afdeling. Extra focus op integratie met bestaande systemen. Doelgroep: consumentenmarkt. Technologieën: Docker.,Blockchain
Bouwen van een computer vision systeem voor objectdetectie in videostreams. Extra focus op real-time verwerking. Doelgroep: bedrijven. Technologieën: React.,Workflow Automation
Maken van een applicatie die via event processing real-time sensorinformatie kan verwerken en analyseren. Extra focus op schaalbaarheid. Doelgroep: consumentenmarkt. Technologieën: TensorFlow.,Data Science
Ontwikkeling van een NLP-module die automatisch klantvragen classificeert en doorstuurt naar de juiste afdeling. Extra focus op integratie met bestaande systemen. Doelgroep: onderwijsinstellingen. Technologieën: Python.,Event Processing
Ontwikkeling van een Event Log App die data uit meerdere databronnen kan koppelen en visualiseren voor gebruikers. Extra focus op gebruiksvriendelijkheid. Doelgroep: consumentenmarkt. Technologieën: Docker.,AR/VR Development
Ontwikkeling van een Event Log App die data uit meerdere databronnen kan koppelen en visualiseren voor gebruikers. Extra focus op schaalbaarheid. Doelgroep: overheidsinstanties. Technologieën: React.,Digital Twin
Ontwikkeling van een NLP-module die automatisch klantvragen classificeert en doorstuurt naar de juiste afdeling. Extra focus op gebruiksvriendelijkheid. Doelgroep: bedrijven. Technologieën: TensorFlow.,Machine Learning
