omschrijving,voorspeld_onderwerp,zekerheid_%
"Voer een geavanceerde penetratietest uit op een interne bedrijfsapplicatie met als doel onbekende kwetsbaarheden te identificeren en te classificeren. Maak gebruik van fuzzingtechnieken, privilege escalation en reverse engineering om diepere systeemlagen te analyseren. Documenteer elke stap volgens de OWASP Testing Guide en stel een uitgebreid mitigatieplan op met prioritering op basis van risico-impact. Reflecteer tot slot op de ethische grenzen tussen red teaming en responsible disclosure.",Cyber Security,32.74
"Ontwikkel een gecontroleerde sandboxomgeving waarin zero-day exploits veilig kunnen worden getest en gemonitord. Gebruik tools zoals Burp Suite, Wireshark en Metasploit om aanvalspatronen te reconstrueren. Analyseer de logdata om trends in aanvalsvectoren te ontdekken en ontwerp een protocol voor verantwoord rapporteren aan softwareleveranciers.",Ethical Hacking,40.92
"Ontwerp een taalmodel dat automatisch klantvragen classificeert en prioriteert binnen een helpdeskplatform. Gebruik transformerarchitecturen (zoals GPT of RoBERTa) voor semantische interpretatie van intenties. Train het model op historische chatlogs en implementeer een feedbackmechanisme waarbij menselijke correcties het model blijven verbeteren. Evalueer prestaties met precision, recall en F1-score.",Artificial Intelligence,63.25
"Creëer een zelflerend aanbevelingssysteem dat dynamisch producten suggereert op basis van gebruikersgedrag en contextuele data. Combineer collaborative filtering met content-based technieken en voer experimenten uit om bias in aanbevelingen te reduceren. Documenteer de trade-offs tussen modelcomplexiteit, uitlegbaarheid en performance.",Artificial Intelligence,41.27
"Onderzoek hoe middelgrote bedrijven innovatie kunnen versnellen door data-gedreven besluitvorming. Analyseer bestaande workflows en identificeer knelpunten waar digitalisering waarde toevoegt. Ontwerp een strategische roadmap die verandermanagement, cultuur en technologie integreert. Reflecteer op de rol van leiderschap in het stimuleren van adoptie.",Business Change and Innovation,48.32
"Ontwikkel een innovatiestrategie voor een organisatie die wil overstappen op circulaire bedrijfsmodellen. Gebruik het Business Model Canvas en Lean Startup-principes om experimenten te structureren. Evalueer de resultaten op basis van impact, schaalbaarheid en duurzaamheid.",Business Change and Innovation,63.8
Ontwerp een proactief detectiesysteem dat netwerkverkeer real-time analyseert op afwijkingen met behulp van machine learning. Train het systeem op historische logdata en test het met gesimuleerde aanvallen zoals brute-force en DDoS. Evalueer het succespercentage van automatische blokkades en stel verbeteringen voor in incidentrespons.,Artificial Intelligence,52.56
Voer een risicoanalyse uit van een bedrijfsnetwerk met nadruk op menselijke factoren in beveiliging. Combineer phishing-simulaties met gedragsanalyse om kwetsbaarheden bloot te leggen. Ontwikkel vervolgens een trainingsprogramma dat bewustzijn en weerbaarheid verhoogt bij medewerkers.,Ethical Hacking,48.63
"Analyseer mobiliteitspatronen in stedelijke gebieden met behulp van open sensordata. Gebruik tijdreeksanalyse en regressiemodellen om het effect van infrastructuur, weersomstandigheden en evenementen op verkeersstromen te voorspellen. Ontwikkel visualisaties en geef aanbevelingen aan stadsplanners.",Data Science,26.77
"Voer een uitgebreide datakwaliteitscontrole uit op een dataset over energieverbruik. Identificeer missing values, outliers en inconsistenties, en pas data cleaning toe met Python. Ontwikkel een model dat piekverbruik voorspelt en evalueer de resultaten in termen van nauwkeurigheid en praktische toepasbaarheid.",Data Science,53.27
Gebruik event logs van een logistiek proces om knelpunten te identificeren via procesmining. Visualiseer afwijkingen en bottlenecks met behulp van Heuristic Miner en kwantificeer hun invloed op doorlooptijd en kosten. Ontwerp een verbeterplan dat de efficiëntie verhoogt zonder klanttevredenheid te verlagen.,Business Process Analytics,38.8
Ontwikkel een simulatiemodel waarmee alternatieve processtromen kunnen worden getest. Gebruik Python of Celonis om verschillende scenario’s te evalueren op basis van prestatie-indicatoren. Documenteer de resultaten in een rapport dat aanbevelingen bevat voor optimalisatie.,Business Process Analytics,32.19
"Ontwerp een schaalbare microservices-architectuur voor een online leerplatform. Gebruik Docker en Kubernetes voor containerbeheer en implementeer load balancing via Nginx. Vergelijk de prestaties met een monolithische architectuur en analyseer de resultaten op schaalbaarheid, onderhoudbaarheid en fouttolerantie.",Software Architecture,69.66
Bouw een prototype van een event-driven systeem met Kafka om real-time data-uitwisseling te ondersteunen. Evalueer de latency en throughput onder hoge belasting en beschrijf de architecturale keuzes in een documentatieverslag.,Data Visualisation,40.66
"Creëer een interactieve datavisualisatie over klimaatverandering die CO₂-uitstoot, temperatuurverandering en zeespiegelstijging in één dashboard toont. Gebruik Plotly of D3.js voor dynamische grafieken en implementeer filters voor regio en tijd. Richt je op begrijpelijkheid voor niet-technische gebruikers.",Data Visualisation,86.51
Ontwerp een visueel verhaal dat economische ongelijkheid per land toont op basis van publieke datasets. Combineer geospatiale kaarten met tijdreeksgrafieken en experimenteer met storytelling-elementen om data betekenisvoller te maken voor beleidsmakers.,Data Visualisation,49.8
Ontwikkel een interactieve AR-installatie waarin bezoekers hun emoties kunnen visualiseren via kleur- en geluidspatronen. Gebruik AI-gestuurde gezichtsherkenning om stemming te interpreteren en dynamisch te vertalen in audiovisuele output. Documenteer het creatieve proces van concept tot testfase.,Creative Digital Innovation,45.51
Creëer een digitale kunstervaring waarin gebruikers met bewegingen abstracte composities genereren. Gebruik sensoren of camera’s voor input en visualiseer het resultaat via een projectiescherm. Onderzoek hoe digitale interactie nieuwe vormen van expressie mogelijk maakt.,Creative Digital Innovation,91.18
Ontwerp een beslissingsondersteunend systeem dat duurzame materiaalkeuzes in de bouwsector optimaliseert. Gebruik Design Science-methodologie om iteratief te ontwikkelen en valideer het prototype met domeinexperts. Beschrijf zowel theoretische onderbouwing als praktische toepassing.,Design Science Research,31.77
"Voer een empirisch onderzoek uit naar hoe AI kan bijdragen aan circulaire economie binnen stedelijke ontwikkeling. Ontwerp een conceptueel model dat data, beleid en ontwerpprincipes integreert. Evalueer de bruikbaarheid aan de hand van expertinterviews en simulaties.",Artificial Intelligence,20.9
