omschrijving,minor,zekerheid
"De student onderzoekt hoe kunstmatige intelligentie kan worden ingezet om verkeersstromen in stedelijke gebieden te optimaliseren. Hiervoor wordt een neuraal netwerk getraind op historische verkeersdata en weersomstandigheden om congestie te voorspellen en dynamisch verkeerslichten aan te passen. De nadruk ligt op dataverwerking, modelvalidatie en de evaluatie van prestatie-indicatoren.",Creative Digital Innovation,22.84
"De student ontwikkelt een AI-systeem dat automatisch klantreviews analyseert om producttevredenheid te meten. Met behulp van natuurlijke taalverwerking worden sentimenten en thema’s in de tekst herkend, waarna de resultaten worden gevisualiseerd in een dashboard. De focus ligt op modeltraining, evaluatie en praktische toepasbaarheid binnen een e-commercecontext.",Creative Digital Innovation,22.58
"De student onderzoekt hoe organisaties digitale transformaties kunnen versnellen door agile-methodieken te combineren met innovatiemanagement. Er wordt een implementatieplan opgesteld voor het invoeren van experimentele innovatieteams binnen een bestaande bedrijfsstructuur. De nadruk ligt op verandermanagement, stakeholderanalyse en succesfactoren voor duurzame innovatie.",Business Change and Innovation,78.47
"De student ontwikkelt een strategisch innovatiemodel voor een middelgrote onderneming die wil inspelen op nieuwe markttrends. Door middel van design thinking en co-creatie met klanten worden kansen in kaart gebracht en vertaald naar haalbare concepten. De focus ligt op procesontwerp, innovatiecultuur en implementatie.",Software Architecture,46.23
"De student analyseert bedrijfsprocessen binnen een financiële organisatie om knelpunten in klantaanmeldingen te identificeren. Met behulp van procesmining en data-analyse worden vertragingen opgespoord en gevisualiseerd in dashboards. De nadruk ligt op efficiëntieverbetering, data cleaning en interpretatie van procesmodellen.",Cyber Security,79.2
"De student onderzoekt hoe process mining-technieken kunnen worden toegepast om de naleving van interne regels te controleren. Op basis van logdata worden afwijkingen in werkprocessen automatisch opgespoord en gerapporteerd aan het management. De focus ligt op datakoppeling, compliance-analyse en datavisualisatie.",Cyber Security,68.19
"De student ontwikkelt een interactieve installatie die reageert op de bewegingen en emoties van bezoekers met behulp van sensortechnologie. Door creatieve technologie te combineren met artistiek ontwerp ontstaat een immersieve ervaring die reflectie oproept over mens-machine-interactie. De nadruk ligt op conceptontwikkeling, prototyping en gebruikerservaring.",Creative Digital Innovation,41.01
"De student creëert een digitale storytelling-ervaring waarbij augmented reality wordt ingezet om erfgoedverhalen tot leven te brengen. Gebruikers kunnen via hun smartphone historische objecten en locaties in 3D verkennen. De focus ligt op narratief ontwerp, technische realisatie en gebruikersinteractie.",Creative Digital Innovation,35.76
"De student onderzoekt hoe multi-factor authenticatie kan worden geoptimaliseerd voor gebruiksgemak zonder in te leveren op veiligheid. Verschillende authenticatiemethoden worden getest binnen een gecontroleerde omgeving om de balans tussen veiligheid en gebruikerservaring te evalueren. De nadruk ligt op risicobeoordeling, beveiligingsontwerp en rapportage van kwetsbaarheden.",Software Architecture,35.64
"De student bouwt een simulatieomgeving waarin phishingaanvallen worden nagebootst om medewerkers te trainen in cybersecuritybewustzijn. Door gedragsdata te analyseren worden patronen van klikgedrag geïdentificeerd en verbeterstrategieën ontwikkeld. De focus ligt op dataverwerking, menselijk gedrag en preventie van digitale dreigingen.",Ethical Hacking,89.79
"De student ontwikkelt een voorspellend model dat omzetgroei van bedrijven schat op basis van historische verkoopdata en externe economische factoren. Met behulp van Python en machine learning worden patronen in de data opgespoord en gevalideerd. De nadruk ligt op feature engineering, modeloptimalisatie en interpretatie van resultaten.",Business Process Analytics,95.37
"De student onderzoekt hoe clusteringtechnieken kunnen worden toegepast om klantsegmentatie te verbeteren binnen een retailorganisatie. Op basis van aankoopgedrag worden profielen opgesteld die marketingstrategieën ondersteunen. De focus ligt op dataselectie, modelkeuze en visuele presentatie van inzichten.",Business Change and Innovation,26.92
"De student ontwerpt interactieve dashboards die real-time inzichten geven in energieverbruik binnen smart homes. Door data uit sensoren te combineren met historische trends worden patronen en piekmomenten inzichtelijk gemaakt. De nadruk ligt op visualisatieprincipes, gebruikerservaring en dataverbindingen.",Software Architecture,42.6
"De student onderzoekt hoe complexe datasets toegankelijker kunnen worden gemaakt door middel van datastorytelling. Er wordt een visueel rapport ontwikkeld waarin visualisaties narratief worden verbonden aan beslissingsprocessen binnen een organisatie. De focus ligt op ontwerp, duidelijkheid en interpretatie van informatie.",Software Architecture,24.81
"De student past het Design Science Research-framework toe om een tool te ontwikkelen die samenwerking tussen onderzoekers bevordert. Door middel van iteratieve prototyping worden eisen verzameld, getest en geëvalueerd met eindgebruikers. De nadruk ligt op validatie, theoretische onderbouwing en praktische relevantie.",Creative Digital Innovation,72.2
"De student onderzoekt hoe wetenschappelijke methoden kunnen worden geïntegreerd in het ontwerp van digitale oplossingen binnen de zorgsector. Een prototype wordt ontwikkeld dat evidence-based besluitvorming ondersteunt. De focus ligt op het onderzoeksproces, artefactontwerp en wetenschappelijke bijdrage.",Software Architecture,32.37
"De student voert een penetratietest uit op een interne webapplicatie om kwetsbaarheden in authenticatie- en sessiebeheer te identificeren. Bevindingen worden gerapporteerd en voorzien van aanbevelingen voor mitigatie. De nadruk ligt op ethische richtlijnen, rapportage en technische uitvoering.",Ethical Hacking,90.74
"De student ontwikkelt een testomgeving waarin SQL-injectieaanvallen kunnen worden gesimuleerd om ontwikkelaars te trainen in veilige codepraktijken. De focus ligt op exploitatieanalyse, veiligheidsmaatregelen en educatieve toepassing van hackingtechnieken.",Data Science,93.19
"De student ontwerpt een schaalbare microservices-architectuur voor een logistiek platform dat realtime data verwerkt. Verschillende ontwerpbeslissingen worden geëvalueerd op het gebied van performance, onderhoudbaarheid en fouttolerantie. De nadruk ligt op systeemontwerp, API-communicatie en deployment.",Software Architecture,76.98
"De student onderzoekt hoe event-driven architecturen kunnen worden toegepast binnen IoT-toepassingen om responstijden te minimaliseren. Er wordt een proof-of-concept gebouwd met gebruik van Kafka en Docker. De focus ligt op integratie, schaalbaarheid en architectonische patronen.",Software Architecture,28.71
